                                 OrigObjName                                  Object      MaxiID          RA         DEC           Fpeak(Crab)     MJDpeak   RecordInst   Frecent[MAXI]   MJDrecent[MAXI]   Frecent[BAT]   MJDrecent[BAT]   Category   Activity   SigCount              AltNames  
                               SGR_1935+2154                           SGR_1935+2154   J1934+218   293.73200    21.89672                 100.0      9999.0   HISTORICAL           0.056           59531.5           -1.0             -1.0          5          1      19648        SGR_J1935+2154  
                                   A_0620-00                              1A_0620-00   J0622-003    95.68559    -0.34564                  50.0     42650.0   HISTORICAL            0.02           59541.5          0.048          59527.0          5          0      21341                     0  
                                     Sco_X-1                                 Sco_X-1   J1619-156   244.97945   -15.64028                31.615     59129.0         MAXI          12.028           59539.5          2.809          59544.0          5          1     237834                 scox1  
                                    V404_Cyg                                V404_Cyg       INDEF   306.01591    33.86719                  20.0      9999.0   HISTORICAL           0.017           59458.5          0.046          59502.0          5          0      15078             J2024+338  
                                 4U_1543-475                             4U_1543-475   J1547-476   236.78449   -47.66952                  15.0      9999.0   HISTORICAL           0.057           59542.5          0.064          59484.0          5          0      27205            4U_1543-47  
                                   V4641_Sgr                               V4641_Sgr       INDEF   274.84014   -25.40718                  13.0      9999.0   HISTORICAL           0.021           59542.5          0.043          59501.0          5          1      20014   J1819-254,SAX_J1819  
                                  A_0535+262                             1A_0535+262   J0538+263    84.72740    26.31579    11.225000381469727     59175.0          BAT           0.016           59538.5          0.071          59537.0          5          1      97668                     0  
                                 GS_2000+251                             GS_2000+251       INDEF   300.70657    25.23646                  11.0      9999.0   HISTORICAL            0.02           59470.5          0.066          59488.0          5          0      30762   J2002+252,Ginga_200  
        LS_I_+61_303_with_Swift_J0243.6+6124                      Swift_J0243.6+6124   J0240+612    40.91844    61.43438                 8.267     58063.0         MAXI           0.022           59519.5          0.062          59516.0          4          1      38427   J0243+614,J0243+614  
                               XTE_J1550-564                           XTE_J1550-564   J1550-564   237.74438   -56.47647                   7.0      9999.0   HISTORICAL           0.024           59406.5           0.05          59171.0          4          0      19490                     0  
                              MAXI_J1535-571                          MAXI_J1535-571   J1535-572   233.83221   -57.23003                 4.711     58017.0         MAXI            0.02           59510.5           -1.0             -1.0          4          0      48604                     0  
                                GRO_J1655-40                            GRO_J1655-40   J1654-398   253.50057   -39.84581                   3.9      9999.0   HISTORICAL           0.055           59538.5           0.04          59484.0          4          0      25549           groj1655-40  
                                  H_1705-250                              H_1705-250       INDEF   257.06049   -25.09171                   3.6      9999.0   HISTORICAL          -9.999             -99.0          0.055          59236.0          4          0          7                     0  
                                GRS_1915+105                            GRS_1915+105   J1915+109   288.79815    10.94581                 3.408     57713.0         MAXI           0.018           59533.5          0.045          59544.0          4          0     132798           grs1915+105  
                                GRO_J0422+32                            GRO_J0422+32       INDEF    65.42801    32.90748                   2.9      9999.0   HISTORICAL          -9.999             -99.0           0.04          59403.0          3          0          9                     0  
                            Nova_Muscae_1991                        Nova_Muscae_1991       INDEF    171.6108    -68.6758                   2.9     48250.0   HISTORICAL          -9.999             -99.0          0.099          59526.0          3          1         16         Nova_Mus_1991  
                             AX_J1631.9-4752                         AX_J1631.9-4752       INDEF     248.008     -47.874    2.7109999656677246     59519.0          BAT          -9.999             -99.0          0.065          59541.0          3          0         99                     0  
                              MAXI_J1348-630                          MAXI_J1348-630   J1348-632   207.05308   -63.27492                 2.322     58521.0         MAXI            0.02           59519.5          0.086          59516.0          3          1      29701                     0  
                              MAXI_J1543-564                          MAXI_J1543-564   J1543-564   235.82223   -56.41343                 2.133     58026.0         MAXI           0.019           59401.5          0.044          59462.0          3          0      23928                     0  
                                      GX_5-1                                  GX_5-1   J1801-250   270.29055   -25.07892                 2.002     58230.0         MAXI           1.117           59541.5          0.142          59544.0          3          1     235833                 gx5-1  
                                 1A_1742-289                             1A_1742-289       INDEF   266.39853   -29.02611                   2.0      9999.0   HISTORICAL          -9.999             -99.0         -9.999            -99.0          3          0          1                     0  
                                    GX_349+2                                GX_349+2   J1705-364   256.43538   -36.42307                 1.979     59216.5         MAXI           0.724           59540.5          0.072          59542.0          3          1     235697               gx349+2  
                                 4U_1630-472                             4U_1630-472   J1634-473   248.50671   -47.39300                 1.855     58487.0         MAXI           0.076           59542.5           0.03          59536.0          3          1     184729             x1630-472  
                                     Cyg_X-1                                 Cyg_X-1   J1958+352   299.59032    35.20161                 1.688     59287.5         MAXI           0.322           59542.5           0.51          59544.0          3          1     238286                 cygx1  
                                  4U_1608-52                              4U_1608-52   J1612-524   243.17914   -52.42311                 1.666     59046.0         MAXI           0.018           59533.5          0.085          59488.0          3          0     136118            H_1608-522  
                              MAXI_J1820+070                          MAXI_J1820+070   J1820+071   275.09143     7.18536                 1.635     58307.0         MAXI           0.024           59440.5          0.074          59435.0          3          0      33666       _MAXI_J1820+070  
                                xtej1817-330                            xtej1817-330       INDEF   274.43140   -33.01883                 1.593    53766.75          ASM          -9.999             -99.0          0.045          59477.0          3          1          8         XTE_J1817-330  
                                GRS_1716-249                            GRS_1716-249   J1719-250   259.90388   -25.01762                   1.5      9999.0   HISTORICAL           0.019           59541.5           0.05          59523.0          3          0      25102   GRO_J1719-24,Granat  
                               XTE_J1859+226                           XTE_J1859+226   J1858+226   284.67325    22.65817                   1.5      9999.0   HISTORICAL           0.016           59509.5          0.041          59515.0          3          0      28004                     0  
                                      Mrk_79                                  Mrk_79       INDEF     115.637      49.809    1.4989999532699585     59256.0          BAT          -9.999             -99.0          0.052          59496.0          3          0         12                     0  
                                 4U_1624-490                             4U_1624-490   J1628-491   247.02305   -49.21111    1.4930000305175781     59350.0          BAT            0.04           59541.5          0.172          59544.0          3          1     228074                     0  
                                    GX_301-2                                GX_301-2   J1226-627   186.65650   -62.77035    1.4539999961853027     59502.0          BAT           0.145           59542.5          0.503          59544.0          3          1     185154                     0  
                                        Crab                                    Crab   J0534+220    83.63308    22.01450    1.4229999780654907     59512.0          BAT           1.041           59541.5          0.963          59544.0          3          1     229760                   Cra  
                                PSR_B1055-52                            PSR_B1055-52       INDEF       164.5      -52.45    1.3890000581741333     59433.0          BAT          -9.999             -99.0          0.047          59527.0          3          0          7                     0  
                                     GX_17+2                                 GX_17+2   J1816-140   274.00579   -14.03628                 1.385     59458.5         MAXI           0.754           59541.5          0.095          59544.0          3          1     235608                gx17+2  
                                    Vela_X-1                                Vela_X-1   J0902-405   135.52859   -40.55469    1.3229999542236328     59417.0          BAT           0.091           59541.5          0.107          59544.0          3          1     193897                velax1  
                               XTE_J1637-498                           XTE_J1637-498       INDEF     249.262      -49.86    1.2979999780654907     59350.0          BAT          -9.999             -99.0          0.058          59542.0          3          0         14                     0  
                              MAXI_J1631-479                          MAXI_J1631-479   J1631-478   247.80858   -47.80711                 1.262     58491.0         MAXI           0.045           59542.5           -1.0             -1.0          3          0     105691                     0  
                                      GX_9+1                                  GX_9+1   J1801-205   270.38462   -20.52890                 1.256     57656.0         MAXI           0.555           59541.5          0.033          59542.0          3          1     234660                 gx9+1  
                                     Cir_X-1                                 Cir_X-1   J1520-571   230.17022   -57.16669                 1.212     56615.0         MAXI           0.273           59542.5          0.045          59539.0          3          1     225379                 cirx1  
                          Swift_J1745.1-2624                      Swift_J1745.1-2624       INDEF    266.2952    -26.4035                   1.2      9999.0   HISTORICAL          -9.999             -99.0          0.064          59420.0          3          0          7                     0  
                                 4U_1700-377                             4U_1700-377       INDEF   255.98655   -37.84414    1.1480000019073486     59421.0          BAT          -9.999             -99.0          0.403          59544.0          3          1        464             x1700-377  
                                     Aql_X-1                                 Aql_X-1   J1911+005   287.81691     0.58497                 1.099     57612.0         MAXI           0.359           59542.5          0.041          59537.0          3          1      84023                 aqlx1  
                                     Cyg_X-2                                 Cyg_X-2   J2144+383   326.17148    38.32141                  1.08     57183.0         MAXI           0.724           59542.5          0.033          59544.0          3          1     234348                 cygx2  
                                   V_0332+53                               V_0332+53   J0334+531    53.74963    53.17314                 1.009     57238.0         MAXI           0.032           59535.5          0.074          59379.0          3          0      35964              V0332+53  
                                    GX_340+0                                GX_340+0   J1645-456   251.44870   -45.61113                 0.983     58028.0         MAXI           0.438           59541.5          0.095          59544.0          2          1     234393               gx340+0  
                             IGR_J13109-5552                         IGR_J13109-5552       INDEF      197.68      -55.87    0.9580000042915344     59350.0          BAT          -9.999             -99.0          0.041          59503.0          2          0          8                     0  
                                  1A_1524-61                              1A_1524-61       INDEF   232.07069   -61.88272                  0.95      9999.0   HISTORICAL          -9.999             -99.0           0.06          59530.0          2          0          5               TrA_X-1  
                                      GX_3+1                                  GX_3+1   J1747-265   266.98332   -26.56357                 0.924     56780.0         MAXI           0.339           59541.5          0.058          59544.0          2          1     235359                 gx3+1  
                                GRS_1739-278                            GRS_1739-278   J1742-277   265.66679   -27.74797                  0.86      9999.0   HISTORICAL           0.019           59541.5          0.051          59512.0          2          1     156535                     0  
                                 4U_1254-690                             4U_1254-690   J1257-692   194.40480   -69.28861    0.8519999980926514     59383.0          BAT           0.026           59541.5          0.852          59383.0          2          0     225662            H_1254-690  
                                     Cyg_X-3                                 Cyg_X-3   J2032+409   308.10741    40.95775                 0.825     57804.0         MAXI           0.382           59542.5          0.062          59531.0          2          1     237655                 cygx3  
                      Galactic_Center_Region                                   SgrA*   J1745-290   266.41682   -29.00782                 0.811     56729.0         MAXI           0.133           59542.5          0.065          59530.0          2          1     237414             Sgr_Astar  
                                xtej1701-462                            xtej1701-462       INDEF   255.24358   -46.18573                 0.809     53758.5          ASM          -9.999             -99.0          0.046          59524.0          2          0          6         XTE_J1701-462  
                                 GRS_1009-45                             GRS_1009-45       INDEF   153.40171   -45.07571                   0.8      9999.0   HISTORICAL          -9.999             -99.0          0.086          59470.0          2          1          6                     0  
                                  H_1743-322                              H_1743-322   J1746-322   266.56498   -32.23357                   0.8      9999.0   HISTORICAL           0.017           59541.5           -1.0             -1.0          2          0       7960             h1743-322  
                                    GX_339-4                                GX_339-4   J1702-487   255.70575   -48.78977                 0.795   54151.129          ASM           0.016           59536.5          0.073          59510.0          2          1      70988               gx339-4  
